Display Name,Family,Subfamily,Pref. Family,Pref. Subfamily,Version,Vendor ID,Styles,Width,Weight,Blocks,Characters,Glyphs
Aktiv Grotesk (Bold Italic),Aktiv Grotesk,Bold Italic,Aktiv Grotesk,Bold Italic,Version 2.003,DAMA,Italic/Bold,5 (Medium),700 (Bold),33,1640,1820
Aktiv Grotesk (Bold),Aktiv Grotesk,Bold,Aktiv Grotesk,Bold,Version 2.003,DAMA,Bold,5 (Medium),700 (Bold),38,2135,3003
Aktiv Grotesk (Italic),Aktiv Grotesk,Italic,Aktiv Grotesk,Italic,Version 2.003,DAMA,Italic,5 (Medium),400 (Normal),33,1640,1820
Aktiv Grotesk (Regular),Aktiv Grotesk,Regular,Aktiv Grotesk,Regular,Version 2.003,DAMA,Regular,5 (Medium),400 (Normal),38,2135,3003
Aktiv Grotesk Black (Italic),Aktiv Grotesk Black,Italic,Aktiv Grotesk,Black Italic,Version 1.101,DAMA,Italic,5 (Medium),900 (Black),18,494,544
Aktiv Grotesk Black (Regular),Aktiv Grotesk Black,Regular,Aktiv Grotesk,Black,Version 1.101,DAMA,Regular,5 (Medium),900 (Black),18,494,544
Aktiv Grotesk Cd (Bold Italic),Aktiv Grotesk Cd,Bold Italic,Aktiv Grotesk Cd,Bold Italic,Version 1.001,DAMA,Italic/Bold,3 (Condensed),700 (Bold),18,494,544
Aktiv Grotesk Cd (Bold),Aktiv Grotesk Cd,Bold,Aktiv Grotesk Cd,Bold,Version 1.001,DAMA,Bold,3 (Condensed),700 (Bold),18,494,544
Aktiv Grotesk Cd (Italic),Aktiv Grotesk Cd,Italic,Aktiv Grotesk Cd,Italic,Version 1.001,DAMA,Italic,3 (Condensed),400 (Normal),18,494,544
Aktiv Grotesk Cd (Regular),Aktiv Grotesk Cd,Regular,Aktiv Grotesk Cd,Regular,Version 1.001,DAMA,Regular,3 (Condensed),400 (Normal),18,494,544
Aktiv Grotesk Cd Black (Italic),Aktiv Grotesk Cd Black,Italic,Aktiv Grotesk Cd,Black Italic,Version 1.001,DAMA,Italic,3 (Condensed),900 (Black),18,494,544
Aktiv Grotesk Cd Black (Regular),Aktiv Grotesk Cd Black,Regular,Aktiv Grotesk Cd,Black,Version 1.001,DAMA,Regular,3 (Condensed),900 (Black),18,494,544
Aktiv Grotesk Cd Hair (Italic),Aktiv Grotesk Cd Hair,Italic,Aktiv Grotesk Cd,Hair Italic,Version 1.001,DAMA,Italic,3 (Condensed),250,18,494,544
Aktiv Grotesk Cd Hair (Regular),Aktiv Grotesk Cd Hair,Regular,Aktiv Grotesk Cd,Hair,Version 1.001,DAMA,Regular,3 (Condensed),250,18,494,544
Aktiv Grotesk Cd Light (Italic),Aktiv Grotesk Cd Light,Italic,Aktiv Grotesk Cd,Light Italic,Version 1.001,DAMA,Italic,3 (Condensed),300 (Light),18,494,544
Aktiv Grotesk Cd Light (Regular),Aktiv Grotesk Cd Light,Regular,Aktiv Grotesk Cd,Light,Version 1.001,DAMA,Regular,3 (Condensed),300 (Light),18,494,544
Aktiv Grotesk Cd Medium (Italic),Aktiv Grotesk Cd Medium,Italic,Aktiv Grotesk Cd,Medium Italic,Version 1.001,DAMA,Italic,3 (Condensed),500 (Medium),18,494,544
Aktiv Grotesk Cd Medium (Regular),Aktiv Grotesk Cd Medium,Regular,Aktiv Grotesk Cd,Medium,Version 1.001,DAMA,Regular,3 (Condensed),500 (Medium),18,494,544
Aktiv Grotesk Cd Thin (Italic),Aktiv Grotesk Cd Thin,Italic,Aktiv Grotesk Cd,Thin Italic,Version 1.001,DAMA,Italic,3 (Condensed),275,18,494,544
Aktiv Grotesk Cd Thin (Regular),Aktiv Grotesk Cd Thin,Regular,Aktiv Grotesk Cd,Thin,Version 1.001,DAMA,Regular,3 (Condensed),275,18,494,544
Aktiv Grotesk Cd XBold (Italic),Aktiv Grotesk Cd XBold,Italic,Aktiv Grotesk Cd,XBold Italic,Version 1.001,DAMA,Italic,3 (Condensed),800 (Extra-bold),18,494,544
Aktiv Grotesk Cd XBold (Regular),Aktiv Grotesk Cd XBold,Regular,Aktiv Grotesk Cd,XBold,Version 1.001,DAMA,Regular,3 (Condensed),800 (Extra-bold),18,494,544
Aktiv Grotesk Ex (Bold Italic),Aktiv Grotesk Ex,Bold Italic,Aktiv Grotesk Ex,Bold Italic,Version 1.001,DAMA,Italic/Bold,7 (Expanded),700 (Bold),18,494,544
Aktiv Grotesk Ex (Bold),Aktiv Grotesk Ex,Bold,Aktiv Grotesk Ex,Bold,Version 1.001,DAMA,Bold,7 (Expanded),700 (Bold),18,494,544
Aktiv Grotesk Ex (Italic),Aktiv Grotesk Ex,Italic,Aktiv Grotesk Ex,Italic,Version 1.001,DAMA,Italic,7 (Expanded),400 (Normal),18,494,544
Aktiv Grotesk Ex (Regular),Aktiv Grotesk Ex,Regular,Aktiv Grotesk Ex,Regular,Version 1.001,DAMA,Regular,7 (Expanded),400 (Normal),18,494,544
Aktiv Grotesk Ex Black (Italic),Aktiv Grotesk Ex Black,Italic,Aktiv Grotesk Ex,Black Italic,Version 1.001,DAMA,Italic,7 (Expanded),900 (Black),18,494,544
Aktiv Grotesk Ex Black (Regular),Aktiv Grotesk Ex Black,Regular,Aktiv Grotesk Ex,Black,Version 1.001,DAMA,Regular,7 (Expanded),900 (Black),18,494,544
Aktiv Grotesk Ex Hair (Italic),Aktiv Grotesk Ex Hair,Italic,Aktiv Grotesk Ex,Hair Italic,Version 1.001,DAMA,Italic,7 (Expanded),250,18,494,544
Aktiv Grotesk Ex Hair (Regular),Aktiv Grotesk Ex Hair,Regular,Aktiv Grotesk Ex,Hair,Version 1.001,DAMA,Regular,7 (Expanded),250,18,494,544
Aktiv Grotesk Ex Light (Italic),Aktiv Grotesk Ex Light,Italic,Aktiv Grotesk Ex,Light Italic,Version 1.001,DAMA,Italic,7 (Expanded),300 (Light),18,494,544
Aktiv Grotesk Ex Light (Regular),Aktiv Grotesk Ex Light,Regular,Aktiv Grotesk Ex,Light,Version 1.001,DAMA,Regular,7 (Expanded),300 (Light),18,494,544
Aktiv Grotesk Ex Medium (Italic),Aktiv Grotesk Ex Medium,Italic,Aktiv Grotesk Ex,Medium Italic,Version 1.001,DAMA,Italic,7 (Expanded),500 (Medium),18,494,544
Aktiv Grotesk Ex Medium (Regular),Aktiv Grotesk Ex Medium,Regular,Aktiv Grotesk Ex,Medium,Version 1.001,DAMA,Regular,7 (Expanded),500 (Medium),18,494,544
Aktiv Grotesk Ex Thin (Italic),Aktiv Grotesk Ex Thin,Italic,Aktiv Grotesk Ex,Thin Italic,Version 1.001,DAMA,Italic,7 (Expanded),275,18,494,544
Aktiv Grotesk Ex Thin (Regular),Aktiv Grotesk Ex Thin,Regular,Aktiv Grotesk Ex,Thin,Version 1.001,DAMA,Regular,7 (Expanded),275,18,494,544
Aktiv Grotesk Ex XBold (Italic),Aktiv Grotesk Ex XBold,Italic,Aktiv Grotesk Ex,XBold Italic,Version 1.001,DAMA,Italic,7 (Expanded),800 (Extra-bold),18,494,544
Aktiv Grotesk Ex XBold (Regular),Aktiv Grotesk Ex XBold,Regular,Aktiv Grotesk Ex,XBold,Version 1.001,DAMA,Regular,7 (Expanded),800 (Extra-bold),18,494,544
Aktiv Grotesk Hair (Italic),Aktiv Grotesk Hair,Italic,Aktiv Grotesk,Hair Italic,Version 1.101,DAMA,Italic,5 (Medium),250,18,494,544
Aktiv Grotesk Hair (Regular),Aktiv Grotesk Hair,Regular,Aktiv Grotesk,Hair,Version 1.101,DAMA,Regular,5 (Medium),250,18,494,544
Aktiv Grotesk Light (Italic),Aktiv Grotesk Light,Italic,Aktiv Grotesk,Light Italic,Version 2.003,DAMA,Italic,5 (Medium),300 (Light),33,1640,1820
Aktiv Grotesk Light (Regular),Aktiv Grotesk Light,Regular,Aktiv Grotesk,Light,Version 2.003,DAMA,Regular,5 (Medium),300 (Light),38,2135,3003
Aktiv Grotesk Medium (Italic),Aktiv Grotesk Medium,Italic,Aktiv Grotesk,Medium Italic,Version 2.003,DAMA,Italic,5 (Medium),500 (Medium),33,1640,1820
Aktiv Grotesk Medium (Regular),Aktiv Grotesk Medium,Regular,Aktiv Grotesk,Medium,Version 2.003,DAMA,Regular,5 (Medium),500 (Medium),38,2135,3003
Aktiv Grotesk Thin (Italic),Aktiv Grotesk Thin,Italic,Aktiv Grotesk,Thin Italic,Version 1.101,DAMA,Italic,5 (Medium),275,18,494,544
Aktiv Grotesk Thin (Regular),Aktiv Grotesk Thin,Regular,Aktiv Grotesk,Thin,Version 1.101,DAMA,Regular,5 (Medium),275,18,494,544
Aktiv Grotesk XBold (Italic),Aktiv Grotesk XBold,Italic,Aktiv Grotesk,XBold Italic,Version 1.101,DAMA,Italic,5 (Medium),800 (Extra-bold),18,494,544
Aktiv Grotesk XBold (Regular),Aktiv Grotesk XBold,Regular,Aktiv Grotesk,XBold,Version 1.101,DAMA,Regular,5 (Medium),800 (Extra-bold),18,494,544
Aller (Bold Italic),Aller,Bold Italic,Aller,Bold Italic,Version 1.010,DAMA,Italic/Bold,5 (Medium),700 (Bold),16,465,482
Aller (Bold),Aller,Bold,Aller,Bold,Version 1.010,DAMA,Bold,5 (Medium),700 (Bold),16,465,482
Aller (Italic),Aller,Italic,Aller,Italic,Version 1.010,DAMA,Italic,5 (Medium),400 (Normal),16,465,482
Aller (Regular),Aller,Regular,Aller,Regular,Version 1.010,DAMA,Regular,5 (Medium),400 (Normal),16,465,482
Aller Display (Regular),Aller Display,Regular,Aller Display,Regular,Version 1.110,DAMA,Regular,5 (Medium),400 (Normal),17,472,654
Aller Light (Italic),Aller Light,Italic,Aller,Light Italic,Version 1.010,DAMA,Italic,5 (Medium),300 (Light),16,465,482
Aller Light (Regular),Aller Light,Regular,Aller,Light,Version 1.010,DAMA,Regular,5 (Medium),300 (Light),16,668,686
Almaq Refined (Regular),Almaq Refined,Regular,Almaq,Refined,Version 1.000,DAMA,Regular,5 (Medium),400 (Normal),16,467,505
Almaq Rough (Regular),Almaq Rough,Regular,Almaq,Rough,Version 1.000,DAMA,Regular,5 (Medium),400 (Normal),16,467,1005
AR ACTION (Regular),AR ACTION,Regular,,,Version 1.00,ARPH,Regular,5 (Medium),400 (Normal),2,223,247
AR ADEPT (Regular),AR ADEPT,Regular,,,Version 1.00,ARPH,Regular,5 (Medium),400 (Normal),2,209,232
AR ADRIANA (Regular),AR ADRIANA,Regular,,,Version 1.00,ARPH,Regular,5 (Medium),400 (Normal),2,223,247
AR AILEEN (Regular),AR AILEEN,Regular,,,Version 1.00,ARPH,Regular,5 (Medium),400 (Normal),2,223,226
AR AKEEM (Regular),AR AKEEM,Regular,,,Version 1.00,ARPH,Regular,5 (Medium),400 (Normal),2,209,232
AR ALBERT (Regular),AR ALBERT,Regular,,,Version 1.00,ARPH,Regular,5 (Medium),400 (Normal),2,223,247
AR ALEXA (Regular),AR ALEXA,Regular,,,Version 1.00,ARPH,Regular,5 (Medium),400 (Normal),2,223,247
AR ALEXANDRA (Regular),AR ALEXANDRA,Regular,,,Version 1.00,ARPH,Regular,5 (Medium),400 (Normal),2,223,245
AR ALFONSO (Regular),AR ALFONSO,Regular,,,Version 1.00,ARPH,Regular,5 (Medium),400 (Normal),2,213,235
AR ALICE (Regular),AR ALICE,Regular,,,Version 1.00,ARPH,Regular,5 (Medium),400 (Normal),1,95,236
AR AMBER (Regular),AR AMBER,Regular,,,Version 1.00,ARPH,Regular,5 (Medium),400 (Normal),2,209,232
